ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
725,NEAR-USDT,SHORT,STANDARD,15,1.785812,1.789388,1.644000,1.789388,SL,-0.05,-0.03,-1.00,0.0000,NY
726,APT-USDT,SHORT,STANDARD,15,1.811087,1.814713,1.728500,1.814713,SL,-0.05,-0.03,-1.00,0.0000,NY
727,PAXG-USDT,LONG,STANDARD,15,4588.974390,4579.805610,4635.770000,4600.020000,TIME,0.02,0.01,1.20,0.0000,NY
728,XRP-USDT,SHORT,STANDARD,15,2.189009,2.193391,2.051700,2.167300,TIME,0.13,0.07,4.95,0.0000,London
729,ARB-USDT,SHORT,STANDARD,15,0.225674,0.226126,0.206000,0.220100,TIME,0.35,0.19,12.34,0.0000,NY
730,PAXG-USDT,SHORT,STANDARD,15,4638.047310,4647.332690,4578.440000,4641.440000,TIME,-0.03,-0.02,0.37,0.0000,NY
731,ETH-USDT,LONG,STANDARD,15,3279.636360,3273.083640,3401.330000,3348.520000,TIME,0.29,0.16,10.51,0.0000,London
732,NEAR-USDT,LONG,STANDARD,15,1.744343,1.740857,1.865400,1.771200,TIME,0.21,0.11,7.71,0.0000,London
733,PAXG-USDT,LONG,STANDARD,15,4594.710120,4585.529880,4647.400000,4618.530000,TIME,0.06,0.03,2.59,0.0000,London
734,PAXG-USDT,SHORT,STANDARD,15,4642.752600,4652.047400,4590.120000,4616.200000,TIME,0.06,0.03,2.86,0.0000,NY
735,BTC-USDT,LONG,STANDARD,15,95181.086000,94990.914000,97157.300000,95528.900000,TIME,0.03,0.02,1.83,0.0000,London
736,ETH-USDT,LONG,STANDARD,15,3276.273000,3269.727000,3383.460000,3306.860000,TIME,0.12,0.06,4.67,0.0000,London
737,SOL-USDT,LONG,STANDARD,15,141.070930,140.789070,145.937000,143.369000,TIME,0.22,0.12,8.15,0.0000,London
738,XRP-USDT,LONG,STANDARD,15,2.054352,2.050248,2.131400,2.050248,SL,-0.05,-0.03,-1.00,0.0000,London
739,DOGE-USDT,LONG,STANDARD,15,0.138538,0.138262,0.145030,0.138262,SL,-0.05,-0.03,-1.00,0.0000,London
740,ADA-USDT,LONG,STANDARD,15,0.388578,0.387802,0.410410,0.387802,SL,-0.05,-0.03,-1.00,0.0000,London
741,AVAX-USDT,LONG,STANDARD,15,13.632619,13.605381,14.462000,13.766000,TIME,0.13,0.07,4.90,0.0000,London
742,LINK-USDT,LONG,STANDARD,15,13.563550,13.536450,14.205000,13.748000,TIME,0.18,0.10,6.81,0.0000,London
743,DOT-USDT,LONG,STANDARD,15,2.096094,2.091906,2.237000,2.118000,TIME,0.14,0.07,5.23,0.0000,London
744,ARB-USDT,LONG,STANDARD,15,0.205105,0.204695,0.218400,0.209500,TIME,0.30,0.16,10.72,0.0000,London
745,OP-USDT,LONG,STANDARD,15,0.335936,0.335264,0.364800,0.335264,SL,-0.05,-0.03,-1.00,0.0000,London
746,SUI-USDT,LONG,STANDARD,15,1.757556,1.754044,1.853100,1.780500,TIME,0.17,0.09,6.53,0.0000,London
747,PAXG-USDT,SHORT,STANDARD,15,4625.709660,4634.970340,4589.110000,4624.830000,TIME,-0.02,-0.01,0.09,0.0000,London
748,BTC-USDT,LONG,STANDARD,15,95181.086000,94990.914000,97100.000000,94990.914000,SL,-0.05,-0.03,-1.00,0.0000,NY
749,XRP-USDT,LONG,STANDARD,15,2.054352,2.050248,2.131400,2.050248,SL,-0.05,-0.03,-1.00,0.0000,NY
750,ADA-USDT,LONG,STANDARD,15,0.388578,0.387802,0.410410,0.387802,SL,-0.05,-0.03,-1.00,0.0000,NY
751,PAXG-USDT,LONG,STANDARD,15,4593.699110,4584.520890,4630.340000,4602.300000,TIME,0.01,0.00,0.94,0.0000,NY
